Type,Region,Make,Gear_Type,Origin,Options,Engine_Size,Mileage,Price,Car_Age,IsVintage,IsBigEngine,log_Mileage
Aveo,Qassim,Chevrolet,Manual,Other,Standard,1.2,102000,11000,11,False,False,11.532737896139919
Sonata,Jeddah,Hyundai,Automatic,Saudi,Full,2.5,3000,118000,2,False,False,8.006700845440367
Corolla,Qassim,Toyota,Automatic,Saudi,Standard,1.6,334000,36500,9,False,False,12.718899265966332
Cerato,Riyadh,Kia,Automatic,Saudi,Standard,1.6,34000,32000,6,False,False,10.434145214930487
CX9,Al-Ahsa,Mazda,Automatic,Saudi,Full,2.5,229000,63000,6,False,False,12.34148164933907
Expedition,Dammam,Ford,Automatic,Saudi,Semi Full,5.4,151000,65000,8,False,False,11.92504173829169
Flex,Dammam,Ford,Automatic,Saudi,Standard,3.5,201000,57000,8,False,False,12.211065162153215
Optima,Riyadh,Kia,Automatic,Saudi,Full,2.4,130,48000,5,False,False,4.875197323201151
Azera,Riyadh,Hyundai,Automatic,Saudi,Standard,3.0,147000,75000,4,False,False,11.898194668458823
Camry,Riyadh,Toyota,Automatic,Saudi,Standard,2.5,101732,61500,5,False,False,11.530107013178988
Camry,Jeddah,Toyota,Automatic,Gulf Arabic,Semi Full,2.5,145,25000,12,False,False,4.983606621708336
Yaris,Dammam,Toyota,Automatic,Saudi,Semi Full,1.5,9800,32000,6,False,False,9.19023970026918
Sierra,Riyadh,GMC,Automatic,Saudi,Standard,5.3,231000,45000,11,False,False,12.35017731849889
Durango,Yanbu,Dodge,Automatic,Saudi,Semi Full,5.7,487100,35000,9,False,False,13.096226772759064
Corolla,Riyadh,Toyota,Automatic,Saudi,Standard,1.6,92412,44500,5,False,False,11.434022940374186
Pick up,Al-Baha,Zhengzhou,Manual,Saudi,Full,2.4,128,35000,6,False,False,4.859812404361672
Pajero,Qassim,Mitsubishi,Automatic,Other,Full,3.5,200000,39000,8,False,False,12.206077645517674
Charger,Al-Ahsa,Dodge,Automatic,Saudi,Semi Full,3.6,124000,99000,4,False,False,11.728044909070785
Suburban,Riyadh,GMC,Automatic,Saudi,Semi Full,5.3,215000,13000,27,False,False,12.278397958261774
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,1.5,79968,29000,4,False,False,11.289394338558493
CT-S,Riyadh,Cadillac,Automatic,Saudi,Full,3.6,240000,32000,12,False,False,12.388398368982115
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2.4,63000,60000,3,False,False,11.050905878263567
Carnival,Riyadh,Kia,Automatic,Saudi,Standard,2.4,132000,37000,7,False,False,11.790564777297387
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,5.3,71000,125000,7,False,False,11.170449240431308
Sylvian Bus,Riyadh,Nissan,Manual,Saudi,Full,3.0,3000,107000,4,False,False,8.006700845440367
ES,Jeddah,Lexus,Automatic,Other,Full,3.5,103000,102000,6,False,False,11.542493975902508
Navigator,Khobar,Lincoln,Automatic,Saudi,Full,5.7,27700,50000,9,False,False,10.229223792606835
Sierra,Riyadh,GMC,Automatic,Saudi,Standard,5.3,205544,99500,6,False,False,12.23342026704841
Camry,Dammam,Toyota,Automatic,Saudi,Standard,2.5,180000,58000,5,False,False,12.100717685412471
ES,Riyadh,Lexus,Automatic,Gulf Arabic,Semi Full,3.5,28000,122000,4,False,False,10.239995502805316
ES,Makkah,Lexus,Automatic,Saudi,Semi Full,2.5,239,65000,9,False,False,5.480638923341991
Opirus,Riyadh,Kia,Automatic,Other,Semi Full,3.5,25500,14000,16,False,False,10.146472946063877
Yaris,Riyadh,Toyota,Automatic,Saudi,Standard,1.4,201000,23000,8,False,False,12.211065162153215
Senta fe,Riyadh,Hyundai,Automatic,Saudi,Full,2.7,260000,21000,13,False,False,12.468440756144114
Taurus,Dammam,Ford,Automatic,Other,Semi Full,3.5,107000,77000,4,False,False,11.580593459194764
Patrol,Riyadh,Nissan,Automatic,Saudi,Standard,4.8,4700,88000,6,False,False,8.45553053102413
Taurus,Jeddah,Ford,Automatic,Saudi,Semi Full,2.5,172000,52000,7,False,False,12.055255569732177
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,3.5,110790,77000,7,False,False,11.615400822559371
The 7,Al-Medina,BMW,Automatic,Saudi,Full,2.0,116000,100000,8,False,False,11.661354090741
Camry,Dammam,Toyota,Automatic,Saudi,Standard,2.5,63000,58000,6,False,False,11.050905878263567
Creta,Riyadh,Hyundai,Automatic,Saudi,Standard,1.6,16576,59500,2,False,False,9.715771471424866
CX9,Dammam,Mazda,Automatic,Other,Full,2.5,104000,105000,6,False,False,11.552155793461898
Expedition,Riyadh,Ford,Automatic,Gulf Arabic,Semi Full,5.4,132000,45000,8,False,False,11.790564777297387
Yaris,Riyadh,Toyota,Automatic,Saudi,Standard,1.4,125000,30000,5,False,False,11.736077016252437
Elantra,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2.0,41912,59500,3,False,False,10.643351320318597
